RIC,WeeklyPrice,Dateweek,issuedate,Currency,Countryissd,Amountissd,RRating,Industry,treat,gbd,dummynewlyissued,dummypricesoilplunge,currency_group,countryissd_group,rr4ting_group,industry_group,idrics,resmatr,logresmatr,duration,duplicates,cyg1,cyg2,cyg3,cyg4,cyg5,cyg6,cyg7,cyg8,cyg9,cyg10,cyg11,cyg12,cyg13,cyg14,cyg15,cyg16,cyg17,cyg18,cyg19,cyg20,cyg21,cyg22,cyg23,cyg24,cyg25,cyg26,cyg27,cyg28,cyg29,cyg30,cyg31,coung1,coung2,coung3,coung4,coung5,coung6,coung7,coung8,coung9,coung10,coung11,coung12,coung13,coung14,coung15,coung16,coung17,coung18,coung19,coung20,coung21,coung22,coung23,coung24,coung25,coung26,coung27,coung28,coung29,coung30,coung31,coung32,coung33,coung34,coung35,coung36,coung37,coung38,coung39,coung40,coung41,coung42,rrg1,rrg2,rrg3,rrg4,rrg5,rrg6,rrg7,rrg8,rrg9,indg1,indg2,indg3,indg4,indg5,indg6,indg7,indg8,indg9,indg10,logAmountissd,_pscore,_treated,_support,_weight,_WeeklyPrice,_id,_n1,_nn,_pdif,greenplunge
83417KDN5=,100.0169,12/1/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,3.5855999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8160674708227296,Treated,On support,1,102.5784,706644,670702,1,.0001144136192306,1
83417KDN5=,98.4609,12/4/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,16.612499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.9319023286916244,Treated,On support,1,95.899,714358,671602,1,.0005983350627586,1
83417KDN5=,98.6014,12/8/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,1.8982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.7950596720695281,Treated,On support,1,100.172,703892,670535,1,8.88047570047e-06,1
83417KDN5=,98.79819999999999,12/9/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,4.2145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8235412655285382,Treated,On support,1,102.751,707867,670775,1,.000080472234126,1
83417KDN5=,98.60420000000001,12/10/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,3.8548999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8192916289524116,Treated,On support,1,103.5869,707343,670728,1,.0000130031911935,1
83417KDN5=,98.5365,12/15/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,16.038099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.928418203656536,Treated,On support,1,99.96729999999999,714225,671587,1,.0001766119257285,1
83417KDN5=,98.358,12/16/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,4.6149001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8281980253412863,Treated,On support,1,98.75,708176,670816,1,.0000132853237851,1
83417KDN5=,98.41930000000001,12/23/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,4.8189001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8305401366687614,Treated,On support,1,104,708453,670844,1,.0000115211846462,1
83417KDN5=,98.4472,12/24/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,2.257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.7996421909752914,Treated,On support,1,100.357,704528,670568,1,.000036130907424,1
83417KDN5=,98.4472,12/25/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,.5068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.7767089146128637,Treated,On support,1,102.517,701474,670427,1,.0001047879981353,1
